epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7502,2.23381,3.97499,1.95004,0.66605,0.07124,0.07351,0.03656,2.04386,2.7049,1.77135,0.000184487,0.000184487,0.000184487
2,65.5951,1.89468,2.81092,1.67159,0.40018,0.11747,0.08715,0.04011,1.95639,2.61583,1.83952,0.000345412,0.000345412,0.000345412
3,95.9677,1.82208,2.56356,1.62481,0.48177,0.15735,0.10728,0.05159,1.84466,2.54045,1.73018,0.000481873,0.000481873,0.000481873
4,126.099,1.76818,2.40044,1.58861,0.5704,0.1475,0.13323,0.06444,1.81706,2.25766,1.68191,0.000445912,0.000445912,0.000445912
5,156.24,1.73208,2.30184,1.55712,0.47334,0.16953,0.1448,0.07209,1.76223,2.10514,1.66184,0.000409216,0.000409216,0.000409216
6,186.414,1.73195,2.25196,1.62402,0.33534,0.17095,0.1518,0.07454,1.74031,2.12308,1.65714,0.00037252,0.00037252,0.00037252
7,215.653,1.69863,2.16603,1.59949,0.38426,0.19528,0.17742,0.08694,1.69482,1.96597,1.58203,0.000335824,0.000335824,0.000335824
8,245.119,1.67563,2.11256,1.58746,0.36789,0.23177,0.18885,0.0921,1.69289,1.96638,1.5986,0.000299128,0.000299128,0.000299128
9,274.615,1.65119,2.04068,1.56084,0.39537,0.23352,0.19006,0.09534,1.64185,1.93779,1.56535,0.000262432,0.000262432,0.000262432
10,304.533,1.63389,1.99519,1.5408,0.35158,0.22068,0.19572,0.09835,1.64264,1.91976,1.54109,0.000225736,0.000225736,0.000225736
11,334.037,1.61224,1.93084,1.52551,0.39158,0.24028,0.20809,0.10409,1.65168,1.86151,1.5537,0.00018904,0.00018904,0.00018904
12,363.332,1.60556,1.90072,1.50438,0.39316,0.22797,0.21006,0.10573,1.63169,1.82917,1.51403,0.000152344,0.000152344,0.000152344
13,392.621,1.5814,1.87358,1.5067,0.35817,0.24787,0.21642,0.10795,1.62758,1.83181,1.52679,0.000115648,0.000115648,0.000115648
14,422.086,1.58655,1.84792,1.49273,0.39486,0.24718,0.2227,0.11342,1.61545,1.78334,1.51964,7.8952e-05,7.8952e-05,7.8952e-05
15,451.518,1.55978,1.81822,1.47725,0.37353,0.25255,0.23058,0.11733,1.61829,1.78226,1.51571,4.2256e-05,4.2256e-05,4.2256e-05
