epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5434,2.31578,4.15354,2.06631,0.64424,0.04973,0.04849,0.02049,2.29017,3.07698,1.97678,0.000184487,0.000184487,0.000184487
2,63.8771,1.95683,3.01571,1.74833,0.536,0.11358,0.08544,0.04116,2.04164,2.47625,1.84382,0.000351514,0.000351514,0.000351514
3,94.3585,1.8833,2.76834,1.70636,0.49461,0.10317,0.09234,0.04055,2.08447,2.41437,1.93416,0.000500194,0.000500194,0.000500194
4,124.711,1.82457,2.57509,1.66913,0.62925,0.1137,0.10991,0.04604,2.08297,2.46744,1.89652,0.000473434,0.000473434,0.000473434
5,155.148,1.78559,2.48699,1.64357,0.40212,0.13098,0.11831,0.05126,1.9999,2.31681,1.82096,0.000445912,0.000445912,0.000445912
6,185.21,1.75526,2.36904,1.61284,0.3897,0.11309,0.12718,0.05787,2.00217,2.56045,1.80996,0.00041839,0.00041839,0.00041839
7,216.12,1.73122,2.31523,1.60114,0.46298,0.18586,0.15047,0.06982,1.88888,2.17424,1.71578,0.000390868,0.000390868,0.000390868
8,246.48,1.72614,2.27712,1.59769,0.46032,0.18448,0.15315,0.07328,1.85352,2.10664,1.69753,0.000363346,0.000363346,0.000363346
9,276.847,1.70727,2.22283,1.5673,0.40567,0.13144,0.15244,0.07118,1.92065,2.32572,1.72632,0.000335824,0.000335824,0.000335824
10,307.035,1.69721,2.2008,1.56436,0.47395,0.17188,0.17048,0.0774,1.88218,2.05226,1.67657,0.000308302,0.000308302,0.000308302
11,337.934,1.68132,2.15518,1.62142,0.37135,0.17992,0.16732,0.07792,1.84883,2.0367,1.68894,0.00028078,0.00028078,0.00028078
12,367.628,1.67795,2.09273,1.62813,0.34069,0.18495,0.1696,0.07613,1.90157,2.06746,1.73473,0.000253258,0.000253258,0.000253258
13,397.4,1.66141,2.05257,1.59634,0.37224,0.1876,0.17618,0.08145,1.8501,2.02187,1.64059,0.000225736,0.000225736,0.000225736
14,427.134,1.65683,2.0335,1.59124,0.34817,0.203,0.18744,0.08411,1.85918,2.01424,1.68112,0.000198214,0.000198214,0.000198214
15,456.956,1.63468,1.97612,1.56802,0.32379,0.21668,0.19114,0.08983,1.80678,1.92788,1.62586,0.000170692,0.000170692,0.000170692
16,486.682,1.62022,1.9727,1.56858,0.35105,0.21473,0.19848,0.09049,1.82197,1.90498,1.63211,0.00014317,0.00014317,0.00014317
17,516.229,1.61622,1.92948,1.56074,0.37474,0.22714,0.20425,0.09656,1.77608,1.89824,1.60706,0.000115648,0.000115648,0.000115648
18,545.88,1.59775,1.91138,1.56274,0.34205,0.22571,0.20628,0.10005,1.73645,1.84434,1.59319,8.8126e-05,8.8126e-05,8.8126e-05
19,576.08,1.59699,1.89089,1.54477,0.36308,0.22879,0.20689,0.09953,1.75487,1.85262,1.58412,6.0604e-05,6.0604e-05,6.0604e-05
20,605.774,1.57624,1.8636,1.5282,0.3652,0.22877,0.20984,0.10208,1.74472,1.86124,1.57062,3.3082e-05,3.3082e-05,3.3082e-05
