epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8685,2.27556,4.13067,1.97855,0.74627,0.03545,0.05392,0.02691,2.03723,3.35332,1.75312,0.000183648,0.000183648,0.000183648
2,58.8274,1.86528,2.76048,1.62703,0.44744,0.12037,0.10465,0.05275,1.87836,2.5332,1.73327,0.000350717,0.000350717,0.000350717
3,87.5704,1.77752,2.48254,1.57561,0.38771,0.11096,0.08381,0.04123,1.87972,2.42465,1.66006,0.000499438,0.000499438,0.000499438
4,116.731,1.78353,2.39954,1.56812,0.40535,0.16125,0.12281,0.05987,1.87355,2.49065,1.73927,0.000473434,0.000473434,0.000473434
5,145.759,1.73404,2.3093,1.54126,0.40163,0.19384,0.14697,0.07204,1.731,2.14599,1.58151,0.000445912,0.000445912,0.000445912
6,175.534,1.69958,2.21694,1.50695,0.49899,0.11862,0.14696,0.07401,1.76937,2.50234,1.61105,0.00041839,0.00041839,0.00041839
7,204.734,1.67807,2.14165,1.48881,0.37564,0.19537,0.15875,0.07846,1.74272,2.01147,1.57113,0.000390868,0.000390868,0.000390868
8,233.603,1.66861,2.09234,1.48795,0.42519,0.20028,0.16866,0.08536,1.70328,2.00655,1.55192,0.000363346,0.000363346,0.000363346
9,263.039,1.66947,2.07137,1.48677,0.36395,0.19958,0.1818,0.09087,1.70379,1.9596,1.55167,0.000335824,0.000335824,0.000335824
10,294.394,1.61777,1.99848,1.44753,0.46615,0.19677,0.18068,0.09056,1.70202,1.99951,1.56981,0.000308302,0.000308302,0.000308302
11,325.435,1.64902,2.0004,1.52049,0.39877,0.21805,0.2014,0.10002,1.66049,1.91534,1.54452,0.00028078,0.00028078,0.00028078
12,354.79,1.62325,1.93819,1.50673,0.36237,0.23737,0.21149,0.104,1.64915,1.87274,1.53926,0.000253258,0.000253258,0.000253258
13,382.995,1.61846,1.90671,1.49919,0.38448,0.22751,0.20919,0.10486,1.62797,1.85348,1.49154,0.000225736,0.000225736,0.000225736
14,411.211,1.59963,1.86499,1.47057,0.35932,0.2494,0.21464,0.10772,1.63991,1.82496,1.48716,0.000198214,0.000198214,0.000198214
15,439.707,1.58064,1.84869,1.46079,0.3471,0.24283,0.23177,0.11345,1.6453,1.82109,1.51644,0.000170692,0.000170692,0.000170692
16,467.586,1.56973,1.81773,1.45974,0.38078,0.23033,0.23688,0.11654,1.64784,1.86331,1.50068,0.00014317,0.00014317,0.00014317
17,495.762,1.55887,1.76988,1.44332,0.35768,0.25108,0.24041,0.12035,1.63805,1.81657,1.50744,0.000115648,0.000115648,0.000115648
18,523.553,1.54724,1.76059,1.4421,0.36617,0.27227,0.24811,0.12239,1.62243,1.7611,1.50075,8.8126e-05,8.8126e-05,8.8126e-05
19,551.74,1.5317,1.72473,1.437,0.35237,0.26606,0.24224,0.1227,1.61843,1.75442,1.48517,6.0604e-05,6.0604e-05,6.0604e-05
20,579.625,1.53044,1.71391,1.42512,0.33982,0.26593,0.24346,0.12289,1.62177,1.74809,1.48339,3.3082e-05,3.3082e-05,3.3082e-05
