epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8155,2.23381,3.97499,1.95004,0.66605,0.07124,0.07351,0.03656,2.04386,2.7049,1.77135,0.000184487,0.000184487,0.000184487
2,63.9024,1.89657,2.81799,1.66796,0.40276,0.12557,0.09233,0.04504,1.94311,2.69177,1.78325,0.000351514,0.000351514,0.000351514
3,94.1536,1.83827,2.57632,1.63139,0.63111,0.12188,0.11276,0.05623,1.82733,2.25408,1.72737,0.000500194,0.000500194,0.000500194
4,124.397,1.774,2.39062,1.57596,0.54548,0.14676,0.13086,0.06506,1.80285,2.36633,1.66029,0.000473434,0.000473434,0.000473434
5,155.277,1.74503,2.31625,1.56538,0.37557,0.18331,0.14436,0.07054,1.73615,2.10114,1.65575,0.000445912,0.000445912,0.000445912
6,186.129,1.71086,2.20726,1.53091,0.38532,0.16409,0.1479,0.07472,1.74954,2.20367,1.65216,0.00041839,0.00041839,0.00041839
7,217.255,1.68959,2.17682,1.5225,0.40857,0.199,0.15694,0.0776,1.76582,2.1091,1.6481,0.000390868,0.000390868,0.000390868
8,247.825,1.68519,2.12916,1.52309,0.41148,0.19374,0.17057,0.08583,1.6955,1.99052,1.56996,0.000363346,0.000363346,0.000363346
9,277.951,1.66308,2.07555,1.49872,0.43157,0.13694,0.15913,0.08024,1.73345,2.29431,1.6134,0.000335824,0.000335824,0.000335824
10,308.295,1.64621,2.05597,1.48868,0.38354,0.19643,0.18916,0.09291,1.69378,1.92391,1.57027,0.000308302,0.000308302,0.000308302
11,339.028,1.65181,2.02101,1.55657,0.39996,0.20981,0.19399,0.0966,1.6852,1.93231,1.56728,0.00028078,0.00028078,0.00028078
12,368.886,1.63664,1.97313,1.53984,0.39037,0.22694,0.20937,0.10359,1.65443,1.83379,1.53366,0.000253258,0.000253258,0.000253258
13,398.539,1.61776,1.92095,1.51696,0.36956,0.23006,0.19803,0.10046,1.66922,1.91947,1.56393,0.000225736,0.000225736,0.000225736
14,428.331,1.61503,1.91311,1.51178,0.3948,0.24851,0.22295,0.11258,1.65581,1.87491,1.54747,0.000198214,0.000198214,0.000198214
15,458.09,1.59757,1.85926,1.48983,0.37251,0.24999,0.21818,0.1096,1.66266,1.8311,1.55477,0.000170692,0.000170692,0.000170692
16,487.875,1.57113,1.84301,1.50158,0.40401,0.24881,0.23718,0.11775,1.66144,1.87931,1.53767,0.00014317,0.00014317,0.00014317
17,517.529,1.566,1.80698,1.48115,0.4035,0.25631,0.24189,0.1229,1.64106,1.83002,1.54003,0.000115648,0.000115648,0.000115648
18,547.096,1.55438,1.78024,1.48259,0.39305,0.26677,0.24261,0.1265,1.62961,1.77,1.52695,8.8126e-05,8.8126e-05,8.8126e-05
19,577.105,1.54426,1.76497,1.465,0.39375,0.27917,0.25018,0.12618,1.62415,1.7599,1.50571,6.0604e-05,6.0604e-05,6.0604e-05
20,606.716,1.53111,1.73098,1.45536,0.39981,0.27719,0.25121,0.12699,1.62273,1.75484,1.51147,3.3082e-05,3.3082e-05,3.3082e-05
